sales_date,n
03/12/2015,14
03/13/2015,24
03/14/2015,4
03/15/2015,1
03/16/2015,13
03/17/2015,23
03/18/2015,23
03/19/2015,23
03/20/2015,30
03/21/2015,3
03/22/2015,4
03/23/2015,26
03/24/2015,25
03/25/2015,20
03/26/2015,33
03/27/2015,39
03/29/2015,1
03/30/2015,24
03/31/2015,44
04/01/2015,39
04/02/2015,25
04/03/2015,25
04/04/2015,3
04/06/2015,32
04/07/2015,30
04/08/2015,29
04/09/2015,26
04/10/2015,23
04/11/2015,1
04/12/2015,2
04/13/2015,44
04/14/2015,34
04/15/2015,28
04/16/2015,23
04/17/2015,22
04/19/2015,1
04/20/2015,32
04/21/2015,32
04/22/2015,26
04/23/2015,20
04/24/2015,21
04/25/2015,3
04/27/2015,27
04/28/2015,31
04/29/2015,32
04/30/2015,47
05/01/2015,53
05/02/2015,3
05/04/2015,25
05/05/2015,30
05/06/2015,23
05/07/2015,44
05/08/2015,33
05/09/2015,2
05/11/2015,17
05/12/2015,31
05/13/2015,36
05/14/2015,27
05/15/2015,25
05/16/2015,5
05/17/2015,3
05/18/2015,36
05/19/2015,28
05/20/2015,31
05/21/2015,42
05/22/2015,25
05/25/2015,2
05/26/2015,31
05/27/2015,40
05/28/2015,45
05/29/2015,74
05/30/2015,2
05/31/2015,3
06/01/2015,33
06/02/2015,31
06/03/2015,51
06/04/2015,36
06/05/2015,28
06/06/2015,6
06/08/2015,32
06/09/2015,40
06/10/2015,28
06/11/2015,48
06/12/2015,28
06/13/2015,2
06/14/2015,1
06/15/2015,42
06/16/2015,40
06/17/2015,36
06/18/2015,33
06/19/2015,25
06/20/2015,2
06/21/2015,2
06/22/2015,26
06/23/2015,25
06/24/2015,17
06/25/2015,23
06/26/2015,26
06/27/2015,1
06/29/2015,29
06/30/2015,52
07/01/2015,35
07/02/2015,31
07/03/2015,17
07/05/2015,1
07/06/2015,20
07/07/2015,33
07/08/2015,38
07/09/2015,25
07/10/2015,31
07/11/2015,11
07/12/2015,1
07/13/2015,32
07/14/2015,38
07/15/2015,32
07/16/2015,25
07/17/2015,24
07/18/2015,3
07/19/2015,1
07/20/2015,21
07/21/2015,24
07/22/2015,14
07/23/2015,27
07/24/2015,31
07/25/2015,1
07/27/2015,23
07/28/2015,24
07/29/2015,41
07/30/2015,36
07/31/2015,50
08/01/2015,3
08/02/2015,2
08/03/2015,32
08/04/2015,26
08/05/2015,24
08/06/2015,24
08/07/2015,37
08/08/2015,1
08/09/2015,2
08/10/2015,39
08/11/2015,33
08/12/2015,36
08/13/2015,34
08/14/2015,31
08/15/2015,4
08/17/2015,35
08/18/2015,41
08/19/2015,36
08/20/2015,14
08/21/2015,2
08/24/2015,23
08/25/2015,33
08/26/2015,33
08/27/2015,44
08/28/2015,33
08/29/2015,3
08/30/2015,4
